oneid,prob,bid,ask,strategy,grp,time,size,clarity,rversion,highest,second,third,fourth
75577,low,15,15,1,9,2021-02-12 12:48:12,64,7,local,14.5,12.5,4.5,2.75
75578,high,23,12,0,8,2021-02-12 10:18:44,64,5,cloud,22.5,20.5,11,9
80621,low,5,7,1,9,2021-02-12 11:12:24,64,9,local,20,17.25,7,3.25
85719,low,10.25,13.25,1,9,2021-02-12 11:37:18,64,10,local,19.5,19.25,12.75,11.25
87828,high,42,15,1,9,2021-02-12 07:01:52,64,2,local,19.75,19.5,17.75,17.25
89959,low,15,0,1,9,2021-02-12 08:04:20,64,7,local,17.5,15,11.5,3.25
90281,low,18,1.75,1,9,2021-02-12 11:33:17,64,5,local,17,13.5,10.5,1.75
90437,low,40,20,1,9,2021-02-12 09:24:51,64,10,local,23.5,13.5,6.75,4
92104,low,15,6,0,8,2021-02-12 11:00:27,64,7,local,22.25,13,8.5,3.75
92257,high,15.75,9.5,0,6,2021-02-12 11:14:43,4,8,local,19.5,8.5,8.5,5.25
92509,low,14,12.5,0,8,2021-02-12 07:50:08,64,3,local,15,14.75,12.5,10
93037,high,20,25,0,8,2021-02-12 14:03:58,64,5,local,23.75,22,19,16.75
93480,low,16,17.5,0,8,2021-02-12 11:09:28,64,8,local,19.25,17.5,16.25,15
94738,high,11.25,11,0,8,2021-02-12 17:29:17,64,5,cloud,22.5,14.25,11.25,11
96644,low,12,9,0,8,2021-02-12 11:25:02,64,1.2,local,21.75,9.75,9,5.25
96725,high,30,25,1,9,2021-02-12 12:32:00,64,9,local,23.25,20.25,19.5,16.75
98185,low,30,14,1,9,2021-02-12 08:11:16,64,2,local,24.75,14.75,5.5,1.75
98200,low,5.25,5.25,0,8,2021-02-12 13:14:00,64,5,local,23.75,18,12.25,9.75
98696,low,22,17,1,9,2021-02-12 11:35:02,64,8,local,23.5,17,12.5,8.75
99237,low,50,50,0,8,2021-02-12 12:38:26,64,10,cloud,24,18,5.75,4.5
99864,high,5,5,1,9,2021-02-12 11:31:12,64,3,local,17.25,13,5.75,1.75
